delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,0000,0000,0001,0000,0001,-001,0000,0001
-001,0000,0001,0001,0001,0002,0000,0000,0001
-001,0000,0001,0001,0001,0002,0001,0001,0000
-001,0000,0001,0001,0001,0002,0000,0002,0001
-001,-001,0001,0001,0001,0002,0000,0001,0001
0000,-001,0001,0002,0001,0002,0000,0000,0001
0000,-001,-001,0002,0002,0003,0000,0000,0002
0000,0000,0001,0001,0002,0003,0000,0001,0002
0000,0001,0003,0000,0003,0003,-001,0002,0002
0001,0002,0004,0001,0003,0004,-001,0002,0003
0001,0002,0005,0001,0004,0005,0000,0005,0003
0001,0003,0005,0001,0006,0006,0001,0005,0006
0003,0008,0006,0003,0012,0006,0001,0009,0006
0003,0017,0005,0005,0018,0006,0001,0013,0006
0002,0027,0005,0005,0028,0009,0001,0018,0009
0000,0054,0004,0003,0036,0009,-001,0024,0009
0000,0071,0004,0003,0039,0009,-001,0024,0009
0000,0087,0004,0003,0043,0009,-001,0024,0009
0000,0107,0004,0003,0045,0009,-001,0024,0009
0000,0125,0004,0003,0045,0009,-001,0024,0009
0000,0149,0004,0003,0047,0009,-001,0024,0009
0000,0149,0003,0001,0047,0009,-001,0025,0010
0000,0086,0003,0001,0040,0014,-001,0025,0010
0000,0086,0003,0001,0040,0014,-001,0024,0010
0001,0046,0004,0002,0031,0010,0000,0019,0009
0003,0028,0004,0003,0024,0010,0001,0016,0009
0002,0019,0004,0002,0021,0008,0001,0011,0008
0002,0014,0001,0002,0011,0006,0000,0008,0008
0002,0013,0001,0002,0011,0006,0000,0008,0008
0002,0013,0001,0002,0009,0006,0000,0008,0008
0002,0009,0001,0002,0009,0006,0000,0008,0008
0002,0009,0001,0002,0008,0006,0000,0008,0008
0002,0008,0001,0002,0007,0006,0000,0008,0008
0002,0008,0001,0002,0007,0006,0000,0008,0008
0002,0004,0004,0001,0006,0005,0001,0005,0005
0000,0003,0004,0001,0004,0004,0001,0004,0003
0000,0001,0004,0001,0003,0004,0001,0002,0001
-001,0001,0001,0001,0002,0002,0001,0000,0001
-001,0000,0000,0000,0002,0001,0000,0000,0001
-001,0000,0000,0000,0002,0001,0000,0000,0003
-001,0000,0000,0000,0002,0003,0000,0001,0003
-001,0000,0000,0000,0002,0004,-002,-001,0003
-001,0000,0000,0001,0002,0004,0000,0000,0003
-001,0000,0000,0000,0000,-001,-001,-001,0003
-001,0000,0000,-001,0000,-001,-001,0000,0002
-001,0000,0001,-001,0000,-001,-001,0001,-001
-001,0000,-003,-001,0000,0000,-001,0001,-001
-002,0000,0000,-001,0000,0001,0000,0000,0001
0000,0000,0000,-001,0000,0001,0000,0000,0002
0000,0000,0002,-001,0000,0003,-001,0000,0002
0000,0000,0002,-001,0001,0003,-001,0001,0001
-001,0000,0002,0000,0000,0001,0000,0001,0001
-001,0000,0002,0002,0001,0001,0000,0001,0001
-001,0000,0002,0002,0002,0002,0000,0001,0001
-001,0000,0001,-001,0002,0002,0000,0001,0001
