delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-002,0000,0000,0002,0001,0000,0000,0000,0000
-001,0001,0000,0002,0000,0000,0000,-002,-001
-001,0001,0000,0001,0000,0001,-001,-002,-001
-001,0002,0001,0001,0000,0001,0000,-002,0000
0001,0001,0001,0001,0001,0001,0000,-001,0001
0001,0001,0000,0001,0001,0001,0001,-001,0000
-001,0000,0000,0000,0001,0001,0001,-001,0000
-001,0000,0000,0000,0001,0002,0001,0000,0000
-001,0001,0002,0000,0001,0002,0001,0000,0000
-001,0002,0002,0000,0001,0003,0000,0000,0002
-001,0002,0002,0000,0002,0006,0002,0000,0003
-001,0001,0007,0002,0002,0013,0001,0000,0008
-001,0001,0009,0000,0002,0014,0001,0000,0009
-001,0001,0012,0002,0002,0017,0000,0000,0010
0000,0006,0016,0002,0005,0021,0000,0001,0012
0000,0007,0016,0003,0008,0021,0000,0002,0012
0000,0011,0013,0002,0015,0019,0001,0006,0009
0001,0017,0007,0003,0018,0013,0002,0008,0007
0001,0020,0004,0003,0023,0008,0003,0013,0003
0005,0024,0002,0006,0029,0004,0007,0015,0003
0011,0024,0001,0009,0032,0004,0007,0017,0002
0011,0024,0001,0009,0032,0004,0007,0017,0002
0011,0024,0001,0009,0031,0004,0007,0017,0002
0011,0024,0001,0009,0026,0004,0007,0017,0002
0011,0024,0001,0009,0025,0004,0007,0017,0002
0011,0024,0001,0009,0023,0004,0007,0017,0002
0014,0006,0001,0019,0016,0004,0013,0015,0002
0014,0005,0001,0029,0010,0004,0018,0010,0002
0013,0003,0001,0034,0007,0004,0021,0008,0004
0013,0003,0001,0034,0007,0004,0021,0008,0004
0013,0003,0001,0029,0007,0004,0021,0008,0004
0013,0003,0001,0026,0007,0004,0021,0008,0004
0013,0003,0001,0021,0007,0004,0021,0008,0004
0013,0003,0001,0021,0007,0004,0021,0008,0004
0009,0003,0002,0015,0007,0006,0021,0005,0004
0006,0003,0002,0009,0007,0006,0020,0003,0002
0004,0002,0003,0008,0005,0007,0013,0002,0001
0002,0002,0003,0005,0004,0007,0010,0002,0001
0002,0001,0003,0005,0004,0007,0009,0002,0001
0002,-001,0001,0004,0001,0001,0006,0002,0001
0002,-001,-001,0004,0001,0001,0005,0002,0001
0001,0000,-001,0004,0001,0001,0005,0001,0001
0001,0000,0000,0005,0002,0001,0005,0001,0000
0001,0000,0000,0005,0002,0001,0006,0001,0001
0001,0000,0001,0003,0002,0001,0006,0001,0001
0001,0000,0001,0002,0003,0001,0004,0001,0001
0000,-001,0001,0002,0002,0001,0004,0001,0001
0001,-001,0000,0002,0001,0001,0004,0002,0000
-001,-001,-001,0002,0001,0001,0004,0002,0000
-001,0000,-001,0002,0001,0001,0004,0002,0000
-001,0001,-001,0001,0001,0002,0002,0001,0000
-001,0000,0000,0001,0001,0002,0002,0001,0001
-002,0000,0000,0001,0001,0001,0002,0001,0000
-001,0000,0000,0000,0001,0000,0002,0000,-001
-002,-001,-002,0001,0001,0001,0002,0000,-001
