delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0002,0002,0001,0003,0002,0001,0005,0000,0002
0002,0002,0001,0003,0002,0001,0005,0000,0002
0003,0002,0001,0004,0003,0000,0005,0000,0005
0004,0002,0002,0006,0003,-001,0005,0002,0002
0004,0002,-002,0006,0003,-001,0005,0002,0003
0004,0004,0001,0006,0003,0002,0007,0002,0002
0005,0003,0001,0006,0003,0003,0008,0002,0003
0006,0003,0001,0007,0004,0003,0008,0002,0002
0006,0003,0002,0010,0004,0002,0008,0002,0003
0009,0006,0002,0010,0004,0002,0008,0004,0002
0009,0006,0002,0012,0006,0001,0008,0004,0003
0010,0007,-001,0014,0006,0001,0009,0006,0003
0010,0009,0002,0014,0014,0001,0009,0008,0003
0008,0014,0002,0012,0015,0005,0007,0010,0004
0005,0019,0003,0006,0022,0006,0002,0011,0004
0003,0019,0006,0002,0022,0006,0001,0011,0006
0002,0016,0011,0002,0017,0013,-001,0008,0011
0002,0008,0020,0003,0008,0016,0001,0001,0012
0001,0003,0020,0003,0004,0022,-001,0001,0015
0001,0003,0020,0001,0002,0022,0001,0000,0015
0001,0002,0008,0001,0002,0020,-001,0000,0015
0000,0003,0005,0001,0002,0011,-001,0000,0011
0000,0002,0004,0002,0002,0006,-001,0000,0007
0000,0001,0003,0002,0002,0005,-001,-001,0006
0000,0001,0002,0002,0001,0003,0000,-001,0005
0000,0002,0002,0001,0000,0003,0000,0000,0005
0001,0002,0001,0001,0000,0002,0002,0001,0005
0001,0002,0001,0001,-001,0003,0002,0001,0004
0001,0002,0001,0001,0001,0002,0002,0000,0003
0001,0001,0002,0000,-001,0002,0001,-001,0003
0000,0002,0002,0001,0001,0002,0000,-001,0004
0000,0001,0002,0002,0000,0002,0000,0000,0004
-002,0001,0002,0002,0001,0003,0000,0001,0005
-002,0000,0002,0002,0000,0002,0000,0000,0001
-001,0000,0001,0001,0000,0002,0000,-001,0001
0000,0002,0001,0001,0000,0002,0000,-001,0001
0000,0003,0001,0001,0001,0002,0000,0000,0002
0000,0003,0001,0001,0001,0002,0000,0001,0002
0000,0003,0002,0001,0001,0002,0000,0001,0005
0001,0001,0001,0000,0001,0002,0001,-001,0003
0000,0001,0001,0001,0000,0002,0000,-001,0003
0000,0001,0001,0002,0000,0000,0002,-001,0003
0000,0001,0001,0002,0000,0002,0001,-001,0003
0000,0002,0001,0001,0000,0000,0001,0000,0002
0000,0002,0000,0001,0001,0000,0001,-001,0001
0000,0002,0000,0001,0001,0000,0001,0000,0001
0002,0002,0000,0000,0002,0000,0001,0001,0001
0000,0001,0000,0000,0001,0000,0001,0001,0002
0002,0002,0000,0000,0001,0000,0001,-001,0003
0000,0001,0000,0000,0000,0000,0001,-002,0003
0001,0001,0000,0000,0000,0000,0001,-002,0003
0000,0001,0001,0001,0000,0000,0001,0000,0003
0000,0001,0000,0002,0002,0000,0000,0000,0003
0000,0002,0002,0002,0002,-001,0001,-001,0003
0000,0002,0000,0001,0002,-002,0002,-001,0003
