delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,0000,0000,0001,0001,0001,0000,0001,0002
0000,-001,0000,0000,0001,0001,0000,0001,0002
0000,-001,0001,0000,0001,0001,0002,0002,0002
0000,0000,0001,-001,0001,0001,0002,0002,0001
0001,0001,0000,-001,0002,0000,0002,0002,0002
0001,0001,0000,-001,0002,0000,0001,0004,0001
0000,0001,0001,0002,0003,0000,0000,0005,0002
0000,0001,0002,0002,0002,0003,0000,0008,0005
0002,0001,0002,0002,0003,0004,0004,0009,0005
0002,0001,0002,0002,0005,0004,0004,0010,0005
0002,0002,0002,0003,0005,0004,0004,0013,0005
0002,0003,0003,0004,0007,0006,0004,0019,0008
0004,0003,0003,0005,0012,0006,0007,0019,0009
0004,0004,0003,0005,0015,0006,0010,0019,0009
0005,0010,0004,0009,0022,0009,0011,0014,0008
0006,0011,0007,0011,0025,0010,0011,0012,0006
0007,0014,0007,0011,0026,0010,0011,0010,0006
0007,0014,0007,0011,0025,0010,0011,0010,0006
0007,0014,0007,0011,0024,0010,0011,0010,0006
0008,0018,0008,0012,0022,0006,0008,0006,0002
0008,0024,0008,0012,0013,0006,0008,0005,0002
0008,0024,0008,0010,0011,0006,0008,0002,0002
0008,0014,0004,0009,0007,0003,0006,0002,0001
0008,0011,0004,0006,0006,0003,0005,0002,0001
0007,0007,0002,0006,0004,0003,0005,0002,0002
0005,0006,0001,0007,0004,0002,0005,0002,0002
0005,0005,0002,0007,0004,0002,0003,0002,0002
0004,0002,0001,0005,0004,0004,0003,0001,0002
0003,0002,0003,0004,0003,0004,0003,0001,-001
0003,0002,0000,0003,0002,0003,0003,0001,-001
0003,0002,0001,0002,0002,0001,0003,0002,0001
0003,0002,0001,0002,0002,0001,0001,0001,0001
0002,0001,0001,0002,0003,0001,0001,0001,0001
0002,0001,0001,0002,0003,0001,0001,0001,0003
0002,0002,0001,0002,0003,0002,0002,0001,0000
0002,0002,0002,0002,0000,0002,0001,0001,0003
0002,0001,0002,0001,0000,0002,0000,0002,0000
0001,0001,0001,0001,0001,0001,0000,0001,0001
0001,0001,0000,0001,0002,0001,0000,0001,0000
0001,0001,0001,0001,0002,0001,0002,0001,0001
0001,0001,0002,0001,0001,0000,0002,0001,0001
0001,0001,0002,0000,0001,0000,0001,0001,0001
0001,0001,0002,0000,0001,0000,0001,0001,0001
0001,0001,0001,0000,0001,0000,0001,0001,0001
0001,0000,0001,0000,0001,0000,0000,0001,0001
0000,0001,0000,0001,0001,0001,0000,0000,0001
0000,0001,0001,0000,0001,0001,0000,0001,0001
0000,0001,0000,0000,0000,0001,-001,0000,0001
0000,-001,0000,0000,0000,0000,-001,0001,0001
0000,-001,0000,0000,0000,0000,0000,0001,0001
0000,-001,0000,0000,0001,0001,0000,0001,0001
0001,-001,0001,0000,0001,0001,0000,0001,0001
0001,-001,0001,0000,0001,0001,0001,0000,0000
0001,0001,0001,0000,0001,0001,0001,0000,0000
0001,0001,0001,0000,0001,-001,0001,-001,0000
