delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,-002,-001,0002,0002,-001,0001,0000,0000
0000,-002,-001,0002,0002,-001,0001,0000,0000
-001,-002,0000,0001,0001,-001,0001,0001,0001
-001,-002,0000,0002,0001,-001,0001,0001,0001
-001,-002,-001,0002,0001,-001,0001,0002,0001
0001,0001,-001,0002,0002,0000,0001,0002,0001
0001,0001,-002,0002,0002,0000,0001,0002,0001
0001,0001,-003,0002,0002,0001,0001,0002,0001
-001,0002,-003,0002,0000,0001,0001,0001,0001
-001,0002,-001,0002,0001,0001,0001,0001,0000
-001,0002,0001,0002,0001,0001,0001,0000,0000
0000,0004,0007,0002,0006,0006,0001,0000,0004
0000,0008,0007,0002,0006,0008,0003,0001,0007
0000,0012,0007,0002,0013,0013,0003,0003,0008
0002,0035,0025,0003,0019,0033,0003,0005,0014
0002,0035,0030,0003,0019,0033,0000,0005,0014
0002,0032,0030,0003,0019,0033,0000,0005,0014
0002,0029,0028,0003,0019,0030,0000,0005,0014
0002,0025,0023,0003,0019,0030,0000,0005,0014
0002,0016,0014,0003,0019,0027,0000,0005,0014
0002,0016,0014,0003,0019,0027,0000,0005,0014
0002,0013,0014,0003,0004,0022,0002,0005,0009
0001,0007,0006,0003,0004,0008,0002,0003,0004
0001,0007,0006,0003,0007,0005,0002,0003,0004
0001,0007,0006,0003,0007,0004,0002,0003,0004
0001,0007,0006,0003,0007,0004,0002,0003,0004
0001,0007,0006,0003,0007,0004,0002,0003,0004
0001,0007,0006,0003,0007,0004,0002,0003,0004
0001,0007,0006,0003,0007,0004,0002,0003,0004
0001,0002,0002,0003,0004,0003,0002,0002,0002
-001,0002,0002,-002,-001,0000,0001,0000,0002
-001,0002,0000,-002,-001,0000,0001,0000,0002
-002,0001,-003,0003,0002,0001,0002,-001,0001
-002,0001,-004,0003,0002,0001,0002,-001,0001
-002,0001,-004,0002,0002,0001,0000,-001,0001
0000,-001,0000,-001,0000,-001,0000,0001,0002
0000,-001,0000,0000,0001,-001,0002,0001,0002
0001,-001,0000,0000,0001,0000,0002,0002,-001
-002,-001,-002,0001,0001,0000,0002,0003,-001
-001,-001,-002,0001,0001,0000,0002,0003,-001
-001,-001,-002,0001,0002,0000,0001,0002,0000
0000,0000,0000,0003,0002,-001,0001,0001,0001
0000,0000,0000,0003,0002,-001,0001,0001,0002
0000,0000,0000,0003,0002,-001,0001,0001,0002
-001,-001,0000,0000,0001,-001,0001,0001,0002
-001,-001,0000,0000,0001,0000,0001,0001,-002
-001,-001,-001,0000,0001,-003,-003,0001,-002
0000,0000,-001,0001,0001,0000,-003,0002,-001
0000,0000,-001,0001,0001,0000,0001,0002,0000
0000,0000,-001,0001,0001,0000,0001,0002,0000
-002,0000,-001,0001,0000,0000,0001,0001,0000
-003,0000,-002,0001,0000,0000,0000,-001,0000
-003,-001,-002,0001,0000,0000,0001,-001,0001
-002,-001,-002,0000,0001,0000,0001,0002,0000
-002,-001,-002,0000,0001,0000,0001,0002,0000
