delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,0000,-001,0001,0001,-002,0000,0000,0001
-001,0000,0000,0001,0001,-001,0000,0001,0002
-001,0000,0000,0001,0001,-001,0000,0001,0002
-001,0000,0001,0001,0001,0002,0000,0001,0002
0000,0002,0001,0000,-001,0002,-001,0002,0002
0000,0002,0001,0000,-001,0001,-001,0002,0002
0000,0001,0001,-001,-001,0001,-001,0001,0003
-001,0000,0000,-001,0000,0001,0000,0000,0003
0000,0000,0001,-001,0000,0003,0000,0000,0003
0000,0000,0001,0000,0000,0005,0000,0000,0005
0002,0001,0002,0000,0001,0006,0001,0003,0012
0002,0001,0002,0000,0001,0007,0001,0003,0012
0002,0001,0003,0000,0001,0007,-002,0003,0009
0002,0006,0003,0000,0009,0006,-002,0015,0007
0002,0007,0003,0001,0017,0005,0003,0022,0007
0003,0007,0003,0002,0017,0003,0003,0022,0004
0007,0006,0002,0021,0016,0003,0022,0021,0004
0007,0006,0003,0021,0009,0003,0036,0012,0004
0007,0003,0003,0014,0002,-001,0036,0001,-003
0007,0003,0003,0014,0002,-001,0034,0001,-003
0007,0003,0003,0014,0002,-001,0031,0001,-003
0007,0003,0003,0014,0002,-001,0028,0001,-003
0007,0003,0003,0014,0002,-001,0024,0001,-003
0007,0003,0003,0014,0002,-001,0021,0001,-003
0003,0003,0001,0004,0001,0002,0011,0001,-001
0003,0002,0001,0003,0001,0002,0009,0001,0000
0002,0002,0000,0000,0001,0002,0002,0001,0000
0001,0002,0000,0000,0001,0002,0002,0001,0003
0001,0002,0000,0000,0000,0001,0001,0000,0003
0001,0002,0000,-001,0000,0001,0001,0000,0003
0000,0000,0000,-001,-001,0001,0001,0000,0001
0000,-001,-001,-001,-001,0000,0001,0000,0001
0000,-001,-002,0000,-001,0000,0001,0000,0001
0001,-001,-002,0000,0001,-001,-001,0001,0002
0001,0001,0000,0000,0000,-001,-002,0000,-001
0001,0001,0000,-001,0000,-001,-001,0000,-001
0001,0001,-001,-001,0000,0000,0000,0000,-001
0002,0001,-001,-002,-003,0000,0000,0001,-001
0002,0001,-001,-003,-002,-001,-001,0001,-001
-001,0001,0001,-003,-002,-001,-001,0001,-001
-001,0001,-001,-001,-002,-001,0001,0001,0000
-001,0001,-002,-001,-002,-001,0001,0001,0000
0001,0000,-002,-001,-002,-001,0001,0001,0000
-001,0000,0000,0000,-001,0002,0001,0001,0000
-001,0000,0003,0000,-001,0002,0001,0001,0000
-001,0001,0002,0001,-001,0001,0000,0001,0001
-001,0000,0002,0000,-001,0000,-001,0001,0001
-001,0001,0002,0000,-001,-001,-001,0001,0001
-001,0001,0002,0000,0000,-001,-001,0001,0001
-002,0001,0000,-001,-001,-001,-001,0000,0001
0000,0000,0000,-001,-001,0002,-001,0000,0001
-001,0000,0000,-001,-001,-001,-001,0000,0001
0000,0001,-001,0000,-001,-001,-001,0001,-001
-001,0001,-001,0000,-001,-001,-001,0001,-001
0000,0001,-002,0000,-001,-002,-001,0000,-001
