delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0001,0000,0002,0000,0001,0001,0001,0004
0002,0001,0000,0002,0000,0001,0003,0000,0002
0002,0001,0000,0001,0002,0001,0001,0000,0002
0001,0001,-001,0001,0002,-001,0002,0001,0001
0001,0001,0001,0001,0002,-001,0002,0001,0001
0002,0000,-001,0002,0001,0001,0005,0001,0002
0002,0000,-002,0004,0001,0001,0005,0002,0003
0002,0000,-002,0004,0001,0003,0009,0002,0003
0004,0002,0000,0006,0003,0003,0010,0003,0005
0004,0003,0002,0008,0003,0002,0011,0003,0005
0005,0003,0002,0011,0004,0002,0011,0006,0005
0005,0004,0002,0011,0006,0003,0010,0009,0005
0004,0008,0002,0006,0017,0003,0007,0014,0005
0003,0011,0002,0003,0017,0004,0003,0014,0006
0002,0011,0009,0002,0014,0016,0002,0011,0021
0002,0003,0009,0002,0006,0016,0002,0004,0021
0000,0001,0008,0002,0000,0012,0001,0001,0011
0000,0001,0003,0002,0000,0006,0000,0000,0007
0000,0000,0002,0001,0000,0004,0000,0000,0005
0000,0002,0001,0001,0000,0001,0000,0001,0003
0000,0001,0001,0001,0000,-002,0001,0001,0002
0000,0001,0001,0001,0000,-002,0001,0000,0003
0000,0001,0000,0001,0000,0000,0000,-001,0002
-001,0001,0000,0001,0000,0000,0000,-001,0002
0000,0001,0000,0001,0000,-004,-001,-001,0002
0000,0001,0000,0001,0000,-004,0000,-001,0003
0000,-001,-001,0001,0001,-001,0000,-001,0003
0001,-002,-001,0000,0000,-001,0000,-001,0000
0001,-002,-002,0001,0001,-002,0000,0000,0000
0001,0000,0000,0002,0001,-002,0000,0001,0002
0001,0000,0000,0002,0001,-002,0000,0000,0002
0002,0000,0000,0001,0001,-002,0000,0001,0003
0002,0000,0000,0001,0000,-002,0000,0001,0002
0000,0000,-001,0001,0002,-002,0000,0001,0001
0000,0000,0000,0001,0002,0002,0000,0000,0001
0001,0000,-001,0001,0002,-001,0000,-001,0001
0001,0000,0000,0002,0001,-001,0000,-001,0001
0001,0000,0001,0001,0001,-001,0001,-001,0000
0002,0000,0001,0002,0000,-001,0000,-001,0000
0000,0000,0000,0002,0001,-001,0001,0000,0001
0002,0001,0000,0002,0001,0001,0000,0000,0003
0000,0000,0000,0000,0001,-001,0000,0000,0003
0000,0000,-001,0000,-001,0003,-002,0000,0003
0000,0000,-001,0000,-001,-001,-002,0000,0002
0001,0001,-001,0000,0000,0002,0000,0000,0002
0001,0001,0000,0000,0000,-002,0003,-001,0002
0000,0001,0000,0000,0000,0000,0003,-001,0002
0000,0001,0000,0000,0001,-001,0000,0000,0001
0000,0001,0000,0000,0001,-001,-001,0000,0000
0000,0001,-002,0000,0000,-002,-001,0000,0000
0000,0000,-001,0000,-001,-002,0001,0000,0001
-001,0000,-001,0000,-001,-002,0001,0000,0001
-001,0000,-001,0002,-001,-001,0001,0000,0001
0001,0000,0000,-001,0000,-001,0001,0001,0001
0001,0000,0000,0000,0001,-001,0001,0001,0001
