delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0001,0000,0001,0001,0002,-002,-002,-001
0000,0001,0000,0001,0001,0002,-001,-002,0000
0000,0001,0000,0000,0001,0007,0000,0000,0000
0002,0001,0000,0000,0001,0001,0000,-002,0000
0002,0001,0000,0000,0001,0000,0001,0000,0003
0002,0002,0000,0001,0001,0000,0000,-001,-001
-002,0001,-002,0000,0001,0002,0000,-001,0002
-001,0001,-001,0000,0001,0002,-001,-001,0000
-001,0001,-001,0000,0001,0002,-001,-001,0002
0001,0001,0001,0001,0001,0006,0000,-001,0005
0001,0001,0001,0002,0001,0006,0000,-001,0006
0003,0001,0002,0002,0001,0006,0002,0000,0010
0001,0000,0004,0003,0001,0011,-001,0001,0018
0001,0000,0006,0003,0001,0019,0000,0001,0018
0001,0000,0006,0003,0001,0027,0000,0001,0017
0001,0004,0015,0004,0006,0042,0002,0003,0017
0001,0004,0015,0004,0006,0046,0002,0003,0017
0001,0004,0015,0004,0006,0046,0002,0003,0017
0001,0004,0015,0004,0006,0043,0002,0003,0017
0001,0004,0015,0004,0006,0038,0002,0003,0017
0001,0004,0015,0004,0006,0031,0002,0003,0017
0001,0014,0032,0003,0006,0018,0001,0002,0006
0000,0056,0032,0000,0003,0010,-002,0001,0001
0000,0056,0029,0000,0003,0010,-002,0001,0001
0000,0018,0028,0000,0003,0010,-002,0001,0001
0000,0007,0026,0000,0003,0010,-002,0001,0001
0000,0007,0020,0000,0003,0010,-002,0001,0001
0000,0007,0017,0000,0003,0008,-002,0001,0001
0000,0002,0014,0000,0001,0007,0000,0000,0001
0001,0002,0009,0001,0001,0007,0000,0000,0002
0001,0001,0008,0001,0001,0006,0001,0000,0001
0001,0001,0007,0001,0001,0005,0001,0000,0002
0001,0001,0007,0001,0001,0005,0000,0000,0002
0001,0001,0005,0001,0001,0006,-001,0000,0002
0001,0000,0005,0001,0001,0006,-001,0000,-001
0004,0000,0005,-001,0001,0005,-001,0000,-001
0002,0000,0005,-001,0000,0004,0001,0000,0000
0002,0000,0005,-002,0000,0002,0001,0000,0000
0002,0000,0002,0000,0000,0002,0001,-002,0000
0000,0000,0001,0002,-001,0005,0000,-002,-001
0000,0000,0001,0002,0001,0005,0000,-002,-002
0000,0000,0001,0002,0001,0002,-001,-001,-002
0000,0000,-001,0000,0001,0002,0000,0000,-001
0000,0000,-001,0000,0001,0002,0001,0000,0000
0000,0000,-001,0000,0001,0002,0001,0001,0000
0001,0003,0002,-002,0001,-001,0001,0001,0000
0001,0003,0002,-002,0001,0000,0001,0001,0000
0001,0001,0001,-002,0003,0000,0000,0000,0000
0001,0001,0001,0002,0000,0002,-002,-002,0000
0000,0001,0001,0002,0000,0002,-001,-003,0000
0000,0002,0002,0002,0000,0001,-001,-003,0000
0001,0000,0001,0001,0000,0001,-001,-001,-001
0001,0000,0001,0001,0000,0000,-001,-001,0001
0001,0000,0001,0001,0000,0000,0000,0000,0001
0001,0002,-002,0000,0001,0000,-001,0001,0001
